mediSpanDrug,mediSpanDisease
medispan:C0692470,medispan:C0011860
medispan:C0692628,medispan:C0011860
medispan:C0692629,medispan:C0011860
medispan:C0692630,medispan:C0011860
medispan:C0693738,medispan:C0011860
medispan:C0693739,medispan:C0011860
medispan:C0693897,medispan:C0011860
medispan:C0694024,medispan:C0011860
medispan:C0694209,medispan:C0011860
medispan:C0694210,medispan:C0011860
medispan:C0694211,medispan:C0011860
medispan:C0705989,medispan:C0011860
medispan:C0705990,medispan:C0011860
medispan:C0705991,medispan:C0011860
medispan:C0773216,medispan:C0011860
medispan:C0773219,medispan:C0011860
medispan:C0705930,medispan:C0011860
medispan:C0688035,medispan:C0013364
medispan:C0774430,medispan:C0013364
medispan:C0353657,medispan:C0014547
medispan:C0590811,medispan:C0014547
medispan:C0688235,medispan:C0014547
medispan:C0688236,medispan:C0014547
medispan:C0688237,medispan:C0014547
medispan:C0688496,medispan:C0003873
medispan:C0688497,medispan:C0003873
medispan:C0688498,medispan:C0003873
medispan:C0688502,medispan:C0003873
medispan:C0688598,medispan:C0003873
medispan:C0688599,medispan:C0003873
medispan:C0688836,medispan:C0003873
medispan:C0688837,medispan:C0003873
medispan:C0688838,medispan:C0003873
medispan:C0688855,medispan:C0003873
medispan:C0688856,medispan:C0003873
medispan:C0688931,medispan:C0003873
medispan:C0688932,medispan:C0003873
medispan:C0689112,medispan:C0003873
medispan:C0689115,medispan:C0003873
medispan:C0689119,medispan:C0003873
medispan:C0689151,medispan:C0003873
medispan:C0689170,medispan:C0003873
medispan:C0689172,medispan:C0003873
medispan:C0689173,medispan:C0003873
medispan:C0689174,medispan:C0003873
medispan:C0689175,medispan:C0003873
medispan:C0689204,medispan:C0003873
medispan:C0689206,medispan:C0003873
medispan:C0689207,medispan:C0003873
medispan:C0689306,medispan:C0003873
medispan:C0689307,medispan:C0003873
medispan:C0689308,medispan:C0003873
medispan:C0689416,medispan:C0003873
medispan:C0689442,medispan:C0003873
medispan:C0689443,medispan:C0003873
medispan:C0689573,medispan:C0003873
medispan:C0689574,medispan:C0003873
medispan:C0689575,medispan:C0003873
medispan:C0689576,medispan:C0003873
medispan:C0689577,medispan:C0003873
medispan:C0689631,medispan:C0003873
medispan:C0689633,medispan:C0003873
medispan:C0689726,medispan:C0003873
medispan:C0689728,medispan:C0003873
medispan:C0689729,medispan:C0003873
medispan:C0689910,medispan:C0003873
medispan:C0689911,medispan:C0003873
